$1000 Damage to Any One Person's Property,Active School Zone Flag,At Intersection Flag,Average Daily Traffic Amount,Construction Zone Flag,Crash Severity,Crash Time,Crash Total Injury Count,Crash Year,Day of Week,Intersection Related,Roadway Part,Speed Limit,Surface Condition,Traffic Control Type,Person Helmet
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1814,1,2014,Friday,Non Intersection,Main/Proper Lane,-1,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1507,1,2014,Saturday,Intersection,Main/Proper Lane,40,Dry,Crosswalk,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,223,1,2014,Sunday,Non Intersection,Main/Proper Lane,35,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,223,1,2014,Sunday,Non Intersection,Main/Proper Lane,35,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,223,1,2014,Sunday,Non Intersection,Main/Proper Lane,35,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,223,1,2014,Sunday,Non Intersection,Main/Proper Lane,35,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1342,1,2014,Tuesday,Non Intersection,Main/Proper Lane,35,Dry,Flashing Red Light,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1038,1,2014,Tuesday,Intersection Related,Main/Proper Lane,30,Dry,Bike Lane,"Worn, Damaged"
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1053,1,2014,Friday,Non Intersection,Main/Proper Lane,30,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1500,1,2014,Friday,Intersection Related,Main/Proper Lane,-1,Dry,Marked Lanes,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1557,1,2014,Monday,Non Intersection,Main/Proper Lane,30,Dry,Marked Lanes,Unknown If Worn
Yes,No,FALSE,No Data,No,Possible Injury,1546,1,2014,Wednesday,Non Intersection,Main/Proper Lane,35,Dry,None,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,126,1,2014,Thursday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Possible Injury,2113,1,2014,Friday,Intersection Related,Main/Proper Lane,35,Dry,Stop Sign,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,735,1,2014,Saturday,Non Intersection,Main/Proper Lane,30,Wet,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2128,1,2014,Saturday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
Yes,No,FALSE,No Data,No,Possible Injury,1728,1,2014,Tuesday,Non Intersection,Other (Explain In Narrative),-1,Dry,None,Unknown If Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1352,1,2014,Tuesday,Intersection,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1802,1,2014,Tuesday,Intersection,Main/Proper Lane,30,Dry,Yield Sign,"Worn, Unk Damage"
No,No,FALSE,69369,No,Non-Incapacitating Injury,1420,1,2014,Thursday,Intersection Related,Main/Proper Lane,60,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1756,1,2014,Friday,Intersection,Main/Proper Lane,30,Dry,Marked Lanes,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,733,1,2014,Monday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,955,1,2014,Thursday,Intersection Related,Main/Proper Lane,30,Wet,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2206,2,2014,Tuesday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light With Red Light Running Camera,"Worn, Unk Damage"
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,23,1,2014,Wednesday,Driveway Access,Main/Proper Lane,30,Dry,Signal Light,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1025,1,2014,Wednesday,Intersection Related,Entrance/On Ramp,65,Dry,Marked Lanes,"Worn, Unk Damage"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,735,1,2014,Wednesday,Intersection Related,Main/Proper Lane,40,Dry,Signal Light,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,1633,1,2014,Thursday,Intersection Related,Main/Proper Lane,40,Dry,Signal Light,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1633,1,2014,Friday,Driveway Access,Main/Proper Lane,-1,Dry,Bike Lane,"Worn, Damaged"
Yes,No,FALSE,No Data,No,Possible Injury,1232,1,2014,Friday,Non Intersection,Other (Explain In Narrative),35,Dry,None,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,741,1,2014,Sunday,Intersection,Main/Proper Lane,25,Dry,Stop Sign,"Worn, Unk Damage"
No,No,TRUE,10943,No,Non-Incapacitating Injury,1728,1,2014,Monday,Intersection,Main/Proper Lane,45,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1714,1,2014,Tuesday,Intersection Related,Main/Proper Lane,45,Dry,Signal Light,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Possible Injury,1949,1,2014,Tuesday,Non Intersection,Main/Proper Lane,30,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,905,1,2014,Thursday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Unknown If Worn
No,No,FALSE,148494,No,Incapacitating Injury,948,1,2014,Thursday,Intersection Related,Service/Frontage Road,35,Dry,Signal Light,Unknown If Worn
No,No,FALSE,No Data,No,Possible Injury,1638,1,2014,Thursday,Driveway Access,Main/Proper Lane,35,Dry,Bike Lane,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1501,1,2014,Friday,Intersection Related,Main/Proper Lane,35,Dry,Crosswalk,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2038,1,2014,Friday,Intersection Related,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Incapacitating Injury,437,1,2014,Saturday,Non Intersection,Service/Frontage Road,55,Dry,Marked Lanes,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1958,1,2014,Monday,Non Intersection,Main/Proper Lane,40,Dry,None,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Incapacitating Injury,1928,1,2014,Monday,Intersection Related,Main/Proper Lane,-1,Dry,Crosswalk,Not Worn
No,No,TRUE,26658,No,Non-Incapacitating Injury,2236,1,2014,Tuesday,Intersection Related,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1611,1,2014,Sunday,Non Intersection,Main/Proper Lane,35,Dry,Center Stripe/Divider,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1732,1,2014,Wednesday,Intersection,Main/Proper Lane,35,Dry,Bike Lane,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1214,1,2014,Friday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,828,1,2014,Saturday,Intersection Related,Main/Proper Lane,25,Dry,Stop Sign,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1953,1,2014,Sunday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Unknown If Worn
Yes,No,TRUE,33647,Yes,Non-Incapacitating Injury,737,1,2014,Monday,Intersection,Main/Proper Lane,35,Dry,Other (Explain In Narrative),Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,2039,1,2014,Tuesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1950,1,2014,Tuesday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,Unknown If Worn
No,No,TRUE,No Data,No,Not Injured,956,0,2014,Wednesday,Intersection Related,Main/Proper Lane,-1,Dry,Signal Light,Unknown If Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1447,1,2014,Friday,Intersection Related,Main/Proper Lane,45,Dry,Marked Lanes,Unknown If Worn
No,No,TRUE,148494,No,Not Injured,203,0,2014,Friday,Intersection Related,Service/Frontage Road,-1,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,801,1,2014,Saturday,Intersection,Main/Proper Lane,-1,Dry,Stop Sign,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1620,1,2014,Wednesday,Intersection,Main/Proper Lane,40,Dry,Signal Light,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2105,1,2014,Thursday,Intersection,Main/Proper Lane,-1,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1514,1,2014,Thursday,Intersection,Main/Proper Lane,35,Dry,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Possible Injury,1316,1,2014,Friday,Non Intersection,Main/Proper Lane,-1,Dry,None,Not Worn
No,No,TRUE,No Data,No,Possible Injury,29,2,2014,Monday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Possible Injury,2009,1,2014,Thursday,Driveway Access,Main/Proper Lane,30,Dry,Other (Explain In Narrative),Not Worn
No,No,TRUE,No Data,No,Possible Injury,1700,1,2014,Sunday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,741,1,2014,Tuesday,Intersection,Main/Proper Lane,35,Dry,Center Stripe/Divider,"Worn, Damaged"
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,951,1,2014,Wednesday,Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1558,1,2014,Wednesday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1755,1,2014,Wednesday,Non Intersection,Main/Proper Lane,40,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1513,1,2014,Wednesday,Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,2308,1,2014,Thursday,Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2256,1,2014,Wednesday,Intersection Related,Main/Proper Lane,40,Dry,Signal Light,Unknown If Worn
Yes,No,FALSE,24711,No,Non-Incapacitating Injury,2206,1,2014,Friday,Non Intersection,Main/Proper Lane,45,Dry,None,Not Worn
Yes,No,FALSE,34328,No,Non-Incapacitating Injury,1153,1,2014,Saturday,Driveway Access,Main/Proper Lane,-1,Dry,Marked Lanes,"Worn, Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1406,1,2014,Saturday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Unknown If Worn
No,No,TRUE,197636,No,Possible Injury,1717,1,2014,Sunday,Intersection Related,Service/Frontage Road,45,Dry,Signal Light,Not Worn
No,No,TRUE,34215,No,Non-Incapacitating Injury,1230,1,2014,Monday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Unknown If Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1248,1,2014,Tuesday,Driveway Access,Main/Proper Lane,30,Dry,None,Not Worn
No,No,TRUE,130691,No,Non-Incapacitating Injury,1458,1,2014,Tuesday,Intersection,Service/Frontage Road,55,Dry,Stop Sign,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,857,1,2014,Wednesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2005,1,2014,Wednesday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1645,1,2014,Friday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1054,1,2014,Friday,Intersection Related,Main/Proper Lane,40,Dry,Signal Light,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1700,1,2014,Saturday,Non Intersection,Main/Proper Lane,-1,Dry,Marked Lanes,Unknown If Worn
Yes,No,TRUE,180878,No,Non-Incapacitating Injury,1214,1,2014,Saturday,Intersection,Main/Proper Lane,-1,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1004,1,2014,Sunday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,544,1,2014,Tuesday,Non Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Unknown If Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,2211,1,2014,Thursday,Intersection,Main/Proper Lane,45,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,Yes,Possible Injury,2102,1,2014,Friday,Driveway Access,Main/Proper Lane,40,Dry,Stop Sign,Unknown If Worn
No,No,FALSE,No Data,No,Possible Injury,1930,1,2014,Sunday,Non Intersection,Main/Proper Lane,-1,Dry,None,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,1105,1,2014,Monday,Intersection Related,Main/Proper Lane,-1,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1609,1,2014,Tuesday,Intersection Related,Main/Proper Lane,-1,Dry,Signal Light,Unknown If Worn
No,No,TRUE,No Data,No,Not Injured,1552,0,2014,Tuesday,Intersection,Main/Proper Lane,-1,Dry,Marked Lanes,Not Worn
Yes,No,FALSE,No Data,No,Possible Injury,1719,1,2014,Wednesday,Non Intersection,Service/Frontage Road,40,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,836,1,2014,Friday,Driveway Access,Other (Explain In Narrative),45,Dry,Marked Lanes,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1426,1,2014,Friday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,247,1,2014,Sunday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1825,2,2014,Sunday,Intersection Related,Main/Proper Lane,30,Dry,None,Unknown If Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1825,2,2014,Sunday,Intersection Related,Main/Proper Lane,30,Dry,None,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1115,1,2014,Monday,Driveway Access,Main/Proper Lane,30,Dry,Center Stripe/Divider,"Worn, Damaged"
No,No,TRUE,No Data,No,Possible Injury,1256,1,2014,Wednesday,Intersection Related,Main/Proper Lane,45,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Possible Injury,2211,1,2014,Thursday,Intersection,Main/Proper Lane,45,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1700,1,2014,Friday,Driveway Access,Main/Proper Lane,-1,Dry,Marked Lanes,"Worn, Unk Damage"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1729,1,2014,Friday,Non Intersection,Main/Proper Lane,30,Dry,None,Unknown If Worn
Yes,No,TRUE,No Data,No,Possible Injury,1552,1,2014,Sunday,Intersection,Main/Proper Lane,35,Dry,Stop Sign,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,820,1,2014,Tuesday,Intersection Related,Main/Proper Lane,30,Dry,None,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,856,1,2014,Tuesday,Non Intersection,Main/Proper Lane,-1,Dry,Flashing Red Light,Not Worn
No,No,TRUE,No Data,No,Incapacitating Injury,1551,2,2014,Tuesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Incapacitating Injury,1551,2,2014,Tuesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1450,1,2014,Wednesday,Intersection,Main/Proper Lane,35,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1540,1,2014,Wednesday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,2128,1,2014,Friday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Not Injured,2136,0,2014,Friday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Not Injured,1520,0,2014,Saturday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1650,1,2014,Monday,Driveway Access,Other (Explain In Narrative),35,Dry,Marked Lanes,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Possible Injury,1903,1,2014,Tuesday,Driveway Access,Main/Proper Lane,35,Wet,None,"Worn, Not Damaged"
No,No,TRUE,180878,No,Non-Incapacitating Injury,1845,2,2014,Tuesday,Intersection,Service/Frontage Road,-1,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1256,1,2014,Tuesday,Driveway Access,Main/Proper Lane,-1,Dry,Bike Lane,Not Worn
Yes,No,FALSE,No Data,No,Possible Injury,1348,1,2014,Saturday,Driveway Access,Other (Explain In Narrative),30,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1341,1,2014,Tuesday,Intersection Related,Main/Proper Lane,30,Dry,Stop Sign,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1610,1,2014,Tuesday,Intersection Related,Main/Proper Lane,65,Dry,Stop Sign,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Possible Injury,1903,1,2014,Tuesday,Intersection,Main/Proper Lane,35,Dry,Signal Light With Red Light Running Camera,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1100,1,2014,Wednesday,Intersection Related,Main/Proper Lane,45,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1803,1,2014,Thursday,Driveway Access,Main/Proper Lane,25,Dry,Marked Lanes,Not Worn
Yes,No,TRUE,No Data,No,Incapacitating Injury,2008,1,2014,Thursday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1751,1,2014,Thursday,Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1512,1,2014,Wednesday,Non Intersection,Service/Frontage Road,55,Dry,None,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1649,1,2014,Wednesday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,"Worn, Not Damaged"
No,No,TRUE,22613,No,Non-Incapacitating Injury,1339,1,2014,Wednesday,Intersection,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1245,1,2014,Friday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1612,1,2014,Friday,Non Intersection,Main/Proper Lane,-1,Dry,None,Not Worn
No,No,FALSE,No Data,No,Possible Injury,224,1,2014,Monday,Intersection Related,Service/Frontage Road,-1,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,2119,1,2014,Wednesday,Driveway Access,Main/Proper Lane,35,Dry,Stop Sign,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1609,1,2014,Wednesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,"Worn, Not Damaged"
Yes,No,FALSE,No Data,No,Incapacitating Injury,1800,1,2014,Friday,Non Intersection,Main/Proper Lane,45,Dry,None,Unknown If Worn
No,No,FALSE,No Data,No,Possible Injury,1335,1,2014,Friday,Intersection Related,Main/Proper Lane,35,Dry,Crosswalk,Unknown If Worn
Yes,No,TRUE,No Data,No,Incapacitating Injury,1907,1,2014,Friday,Intersection,Main/Proper Lane,30,Dry,None,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,1919,1,2014,Saturday,Intersection,Main/Proper Lane,30,Dry,Bike Lane,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1058,2,2014,Sunday,Non Intersection,Other (Explain In Narrative),30,Dry,Bike Lane,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1058,2,2014,Sunday,Non Intersection,Other (Explain In Narrative),30,Dry,Bike Lane,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1215,1,2014,Wednesday,Driveway Access,Main/Proper Lane,45,Dry,None,Not Worn
No,No,FALSE,No Data,No,Possible Injury,933,1,2014,Thursday,Driveway Access,Main/Proper Lane,35,Dry,Marked Lanes,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1005,1,2014,Thursday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Unknown If Worn
No,No,FALSE,No Data,No,Possible Injury,1105,1,2014,Thursday,Driveway Access,Main/Proper Lane,30,Dry,Bike Lane,"Worn, Not Damaged"
Yes,No,TRUE,No Data,No,Incapacitating Injury,1904,1,2014,Friday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Not Injured,2247,0,2014,Friday,Non Intersection,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Not Injured,2247,0,2014,Friday,Non Intersection,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,910,1,2014,Saturday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,Not Worn
Yes,No,TRUE,34215,No,Incapacitating Injury,855,1,2014,Monday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,Unknown If Worn
Yes,No,FALSE,No Data,No,Not Injured,1256,0,2014,Tuesday,Non Intersection,Main/Proper Lane,-1,Dry,Bike Lane,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,2315,1,2014,Thursday,Driveway Access,Main/Proper Lane,35,Dry,Crosswalk,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,804,1,2014,Tuesday,Intersection Related,Main/Proper Lane,30,Dry,Stop Sign,Unknown If Worn
No,No,FALSE,33647,No,Non-Incapacitating Injury,1708,1,2014,Tuesday,Non Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Not Worn
Yes,No,TRUE,No Data,No,Incapacitating Injury,613,1,2014,Wednesday,Intersection,Main/Proper Lane,-1,Dry,Signal Light,"Worn, Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1236,1,2014,Thursday,Intersection Related,Main/Proper Lane,30,Dry,Marked Lanes,Unknown If Worn
No,No,TRUE,No Data,No,Not Injured,45,0,2014,Sunday,Intersection Related,Main/Proper Lane,-1,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,2255,1,2014,Sunday,Non Intersection,Main/Proper Lane,30,Dry,Marked Lanes,Unknown If Worn
Yes,No,FALSE,No Data,No,Possible Injury,1057,1,2014,Monday,Driveway Access,Main/Proper Lane,35,Dry,Marked Lanes,"Worn, Unk Damage"
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1950,1,2014,Tuesday,Driveway Access,Main/Proper Lane,40,Dry,Bike Lane,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,1820,1,2014,Tuesday,Intersection Related,Other (Explain In Narrative),35,Wet,Stop Sign,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,831,1,2014,Wednesday,Non Intersection,Other (Explain In Narrative),-1,Dry,None,Not Worn
No,No,TRUE,No Data,No,Possible Injury,833,1,2014,Thursday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Incapacitating Injury,2041,1,2014,Thursday,Non Intersection,Main/Proper Lane,30,Dry,None,Unknown If Worn
Yes,No,TRUE,No Data,No,Incapacitating Injury,1416,1,2014,Thursday,Intersection,Main/Proper Lane,-1,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1345,1,2014,Thursday,Intersection,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,957,1,2014,Friday,Intersection,Main/Proper Lane,30,Dry,Bike Lane,Not Worn
No,No,FALSE,No Data,No,Incapacitating Injury,946,1,2014,Friday,Non Intersection,Other (Explain In Narrative),30,Dry,Center Stripe/Divider,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,857,1,2014,Saturday,Intersection,Main/Proper Lane,45,Dry,Marked Lanes,"Worn, Unk Damage"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1917,1,2014,Wednesday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,"Worn, Unk Damage"
No,No,TRUE,No Data,No,Possible Injury,2003,1,2014,Wednesday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1733,1,2014,Wednesday,Non Intersection,Main/Proper Lane,-1,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,830,1,2014,Thursday,Intersection,Main/Proper Lane,30,Dry,None,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,2155,1,2014,Thursday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,"Worn, Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1800,1,2014,Friday,Intersection,Main/Proper Lane,-1,Wet,Marked Lanes,Unknown If Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1702,1,2014,Tuesday,Intersection Related,Other (Explain In Narrative),35,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1208,1,2014,Wednesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,"Worn, Unk Damage"
Yes,No,FALSE,No Data,No,Incapacitating Injury,1243,1,2014,Friday,Non Intersection,Main/Proper Lane,30,Dry,Marked Lanes,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1504,1,2014,Saturday,Non Intersection,Other (Explain In Narrative),40,Dry,None,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1230,1,2014,Sunday,Intersection,Main/Proper Lane,30,Dry,Signal Light,Unknown If Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1944,1,2014,Sunday,Driveway Access,Main/Proper Lane,-1,Dry,Marked Lanes,Unknown If Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,740,1,2014,Monday,Intersection,Main/Proper Lane,40,Dry,Signal Light,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1548,1,2014,Monday,Non Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Unknown If Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1921,1,2014,Wednesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1745,1,2014,Thursday,Driveway Access,Main/Proper Lane,40,Dry,Bike Lane,Unknown If Worn
